,summary,title,category
864,"My Friends Place NY Inc. is founded by a group of like minded Asian young professionals based in Brooklyn with the goal to empower the next generation of Asian youths. 

We are looking for volunteers to join our PAL (Professional Asian Leaders) committee to utilize your skills in a meaningful way.",Asian Young Professionals,Communities and Neighbors
865,"The Senior Services Intern is responsible for assisting and supporting the Senior Center staff with the daily schedule while interacting with the seniors during meals, exercise, and other activities.",Senior Services Intern,Health and Well-Being
866,"Tutor/teach adults learning to speak English.  Small group and one-to-one tutoring in English and literacy. ESL experience is desirable, but not required.  We need tutors who are excited about helping our adult learners reach their goals in speaking and literacy.",WANT TO TEACH ENGLISH?  -- ESL FOR ADULTS,Education
867,"Looking for a volunteer to assist with monthly volunteer opportunities, organize events and maintain contact with volunteers.",Volunteer Coordinator,
868,"South Bronx United is looking for highly motivated, energetic volunteers who want to make a difference in the lives of South Bronx youth, providing the tools necessary to graduate high school and attend college.",College Advisory Internship,
869,Volunteers walk visitors throughout neighborhoods of New York City that they know well in all five boroughs. Visitors are able to experience the various sights and sounds with the greeter and can get a real taste of New York City and its inhabitants.  Many of our greeters are senior citizens.,Senior Volunteer Greeter,
870,"Join CASA-NYC, a non-profit whose mission is to ensure that children in foster care have their needs met and their rights protected. We are seeking a tech-savvy Administrative Assistant to work on a part-time, volunteer basis and support the day-to-day tasks of the Volunteer Department.",Part-time Volunteer Administrative Assistant (Unpaid),
871,Groove With Me is a free dance school that utilizes dance to attract and engage girls during the idle out-of-school time hours; and build self-confidence in an effort to prevent risk-taking behaviors.,Give the Gift of Dance this Summer,
872,Assist with daily and weekly administrative tasks for charity organization serving youth and families via basketball.,Administrative Assistant,
873,"What is the Creative Lab? 
 
Creative Lab offers teens an introduction to the creative industry and cultural institutions across New York City.",Be a Mentor for our Creative Lab Program!,
874,The Vision Board is the creative arm of FBCDC.  It is an advisory board made up of visionary young adults connected to the southeast Queens communities in some way.  The role of the Vision Board is to create ideas for improving the local community and engaging other young adults in that mission.,Millennial Vision Board Members,
875,"We are building a team for a Pilot Project to work with young women 13 - 30 years of age, as a multi approach program for Alternatives to Incarceration and Prevention Program.",Peer & Intern Specialist,
876,Assist staff with 3 economic development projects that will support existing small business in the East Harlem community.,AmeriCorps Intern,
877,We are looking for a detailed individual and visionary to help raise awareness to our mission to provide clothing to children in need by repairing if needed.,Marketing Manager,
878,Uweza empowers Kenyan children and youth to pursue a path to a better future through the discovery and development of their talents and abilities.,Seeking Board Members,
879,"This position serves the very important role of housing and loving animals before they are placed with their forever home. We need people to provide loving, supportive home to animals in transition. Fosters need to transport animals to necessary appointments and bring them to weekly adoption events.",FOSTER HOME,
880,This position serves the important role of transporting animals and supplies.,TRANSPORT TEAM VOLUNTEER,
881,"This position serves the important role of fundraising, social media, event support, developing/designing materials for the promotion and publicizing of Louie’s Legacy.",MARKETING & DEVELOPMENT TEAM VOLUNTEER,
882,This position does the rewarding work of connecting animals to their forever homes.,ADOPTION TEAM VOLUNTEER,
883,This position serves the extremely vital role of caring for animals from intake until final adoption.,MEDICAL TEAM VOLUNTEER,
884,This position serves the absolutely critical role of placing animals in foster homes and making sure they complete all steps to become adoptable.,FOSTER TEAM VOLUNTEER,
885,Volunteers provide education to patients and family on the importance of the Health Care Proxy and other Advanced Care Planning documents in an outpatient environment.,Advanced Care Planning Education Program,
886,Volunteers provide education and instruction to patients and visitors on the use of the Patient Portal Electronic Health Record in an outpatient setting.,Patient Portal Liaison Volunteer Program,
887,"The STOMP Out Bullying HelpChat Line is a national and free crisis HelpChat Line. Volunteers use our web-based platform to provide emotional support to youth who are bullied, cyberbullied and at-risk for suicide.",Volunteer Crisis Counselor,
888,"Trinity Human Services Corporation welcomes volunteers who can help in a Client Choice Model Food Pantry, or in a Thrift Shop sorting Clothing and Household Goods, and assisting those in selecting goods to fit their needs, or offer Social Service referrals and assistance to individuals and families.","Helping clients/repacking shelves in ""Client choice pantry"", sorting items in Thrift Shop, and case management for two days a week.",
889,"Looking for volunteers interested in serving at our after school program by helping kids with their homework, play chess with them or teaching them a skill or foreign language.",Community Center Volunteers,
890,"Non-profit development interns work closely with South Bronx United’s Development Manager in building organizational capacity in support of SBU’s youth development programs, which use soccer as a tool to help youth advance academically, graduate high school, and go on to college.",Non-Profit Development Internship,
891,COPO hosts a halal/kosher food pantry that is rapidly expanding and needs volunteers who are available either Thursdays from 10-2 or Fridays from 1-5. We are seeking individuals who enjoy giving back to their community and are able to work well with others.,Food Pantry Volunteer,
892,We are currently accepting applications for Volunteer Dance Teachers. Groove With Me is a free dance school for girls in East Harlem.,Volunteer Dance Teachers,
893,"The Friends of St. Mary’s (FOSM) committee is a network of passionate professionals who are committed to enriching the lives of St. Mary’s Kids and their families through fundraising, advocacy, leadership and volunteering.",Friends of St. Mary's Committee,
894,We are seeking volunteers to join our Food pantry team.,Food Pantry Volunteer,
895,"Back on My Feet combats homelessness through the power of running, community support, and essential employment and housing resources.",Lower East Side Morning Runner,
896,"Back on My Feet combats homelessness through the power of running, community support, and essential employment and housing resources.",West Harlem Runner,
897,"Back on My Feet combats homelessness through the power of running, community support, and essential employment and housing resources.",East Harlem Morning Runner,
898,"Back on My Feet combats homelessness through the power of running, community support, and essential employment and housing resources.",Midtown Morning Runner,
899,"Back on My Feet combats homelessness through the power of running, community support, and essential employment and housing resources.",Downtown Morning Runner,
900,Auxiliary members lead fundraising efforts for patient equipment and programs that enhance the patient experience and provide quality healthcare with dignity and compassion.,Coney Island Hospital Auxiliary,
901,We are looking for a small group of volunteers to join us on Friday mornings in gardening activities along the Gowanus Canal!,Gardening and Stewardship Team,
902,"Are you looking to be on the front lines in the fight against hunger? In our Community Kitchen you can prepare, cook and serve food to our clients. In our Pantry you can assist clients as they shop for food and restock the pantry throughout the day.",Senior Breakfast (18+),
903,"Are you looking to be on the front lines in the fight against hunger? In our Community Kitchen you can prepare, cook and serve food to our clients. In our Pantry you can assist clients as they shop for food and restock the pantry throughout the day.",Prep & Serve (18+),
904,"Are you looking to be on the front lines in the fight against hunger? In our Community Kitchen you can prepare, cook and serve food to our clients. In our Pantry you can assist clients as they shop for food and restock the pantry throughout the day.",Dinner Service (18+),
905,"Are you looking to be on the front lines in the fight against hunger? In our Community Kitchen you can prepare, cook and serve food to our clients. In our Pantry you can assist clients as they shop for food and restock the pantry throughout the day.",Food Delivery Support (18+),
906,"Are you looking to be on the front lines in the fight against hunger? In our Community Kitchen you can prepare, cook and serve food to our clients. In our Pantry you can assist clients as they shop for food and restock the pantry throughout the day.",Shop & Stock (16+),
907,"Feeling like a wizard behind the curtain? Work your magic at one  of our repack projects. You can break down donations of 500 pounds or more, then sort and repack the food into boxes that will be shipped out to organizations all over New York City.",Repack (18+),
908,Search for beginner/start up funding for the organization.,Grant Writer,
909,"The development manager's primary responsibility will be creating, administering, and implementing the organization's long-term development plan. It will entail developing and implementing a growth strategy for the future. Outreach efforts and managing relationships with new and existing donors.",Not for Profit development manager,
910,Organize activities to raise funds or otherwise solicit and gather monetary donations or other gifts for the organization. May design and produce promotional materials.,Fund Raiser,
911,"We are in the process of starting a YouTube channel and need a VIdeographer who has a few hours once a week!  

My Makeover Mission is all about empowering older women to feel relevant and beautiful.",VIDEOGRAPHER NEEDED,
912,CIANA is looking for an ESL instructor to teach once or twice per week. Our classes are typically composed of 10-20 students whose English proficiency ranges from beginner to intermediate. You must be comfortable managing a diverse group of students and facilitating fun and interactive activities.,Volunteer ESL Teacher,
913,CIANA is looking for a civics instructor to teach once or twice per week. Our classes are typically composed of 10-20 students whose English proficiency ranges from beginner to intermediate who are studying to take their US citizenship exam.,Volunteer Civics Teacher,
914,The purpose of this position is to perform Disaster Engagement readiness activities needed to support the regional disaster workforce.,Workforce Engagement Team Member needed in Manhattan!,
915,"A web content manager will be responsible for the content that appears on a website. He/she will be in charge of content producers, content placement and content quality.",Website manager,
916,"A web content manager is will be responsible for the content that appears on a website. He/she will be in charge of content producers, content placement and quality of a Cancer related foundation.",Website manager,
917,"If you are in media and have a passion for film and creating content, we would like to speak with you.",Production Assistant,
918,Serve people by distributing and organizing food for low-income and homeless clients in our food pantry. Learn about hunger and food justice. Assist the farmers in transitioning into the winter season on our two urban farms.,Food Pantry Volunteer Day,
919,"Staten Island Museum Special Event Volunteers…Make Our Events Amazing! 

Maybe you have event production experience, have a passion for logistics, enjoy working with the public and having fun.  If that sounds like you, then the Staten Island Museum needs your support!",Special Events Volunteer,
920,"Did you know 40% of food in the USA is wasted?

Did you know 1 and 7 Americans are food insecure?

Did you know YOU can help?

Join Rescuing Leftover Cuisine and provide a reliable food rescue service by fostering community connections in order to reduce food waste and food insecurity in NYC!",Volunteer (with Stipend) to Fight Food Waste and Hunger on Friday Afternoons!,
921,"Event Support for various events in support of SCOPE. Volunteer responsibilities include working with event committees, organization, graphic support for media and print, Gift in Kind outreach and management, partner with SCOPE staff on all event responsibilities including day of management.",Event Coordinator,
922,Place For Cats operates via a network of foster homes. Fostering periods usually run from a couple weeks to several months.  Medical care costs are provided by Place For Cats.,Fosters Needed For Rescued Felines!,
923,The Van Cortlandt Park Conservancy is seeking a bilingual volunteer who can translate English documents into Spanish. Flexible schedule available.,Document Translator,
924,GallopNYC is a non-proﬁt organization based in New York City that oﬀers therapeutic horsemanship programs to children and adults with disabilities.,GallopNYC: Volunteer with HORSES to help people with Disabilities in New York City,
925,"Help advocate with Center for Independence of the Disabled, NY (CIDNY). We have 40 years of advocating for people with disabilities and are proud of the positive changes we have been able to make. There is much more work that needs to be done and we need people who can help us with outreach.",Outreach Help Needed,
926,Do you like working with youth? Come volunteer at Brooklyn Community Services to change a young man's life for the better.  This mentoring opportunity will be a meaningful experience that you will remember for a lifetime.,Mentor for Young Men’s Initiative,
927,Do you like working with youth? Come volunteer at Brooklyn Community Services to change a young man's life for the better.  This mentoring opportunity will be a meaningful experience that you will remember for a lifetime.,Mentor for Young Men’s Initiative,
928,Are you interested in issues surrounding mental health in New York City? Come volunteer at Brooklyn Community Services where one of our women shelters are in need of your help.,Administrative & Maintenance Volunteer,
929,"St. Nicks Alliance seeks to transform lives of low-and moderate-income people through employment, education, housing, and health care. We do this by delivering impactful services with measurable outcomes to children, adults, and the elderly.",Volunteer Healthcare Mentor,
930,September is Hunger Action Month which means it’s time for Food Bank For New York City’s 14th annual Go Orange to End Hunger™ campaign. Go Orange is a citywide call to action to support the 1.4 million New Yorkers who rely on Food Bank and its citywide network of charities.,Go Orange Weekend Repack in Hunts Point (BRONX),
931,"I am starting a new and exciting project and need a savvy media person to help me with Facebook and Twitter. 

I am on both sites, but don’t have a clue how to engage with either. I understand Instagram, but the other two are like learning a foreign language!",Social Media  Guru Needed!!,
932,Volunteers Wanted to fundraise and allocate donations for humanitarian 501(c)(3) organization located in Brooklyn NY.,Volunteers Wanted,
933,"Grant writer wanted proficient in research, application submission, deadlines, budget, and proposal development.",Grant Writer Wanted,
934,"NYC Service, a division of the Office of the Mayor, promotes volunteerism, engages New Yorkers in service, builds volunteer capacity and mobilizes the power of volunteers and national service members to impact New York City’s greatest needs.",NYC Service Year Developer,
935,"Tutor math and mentor NYC middle school students in the Lower East Side on Saturday mornings, from October 2019 through May 2020!",Volunteer MATH tutors needed on the Lower East Side!,
936,We are looking for a self-driven and motivated person to help with identifying potential grants and to draft grant proposals to help increased funding for the organization.,Grant Writing,
937,"Assisting the Marketing Coordinator with any Job responsibilities. Contacting potential donors/sponsors to help out the organization. Following organization protocol when it comes to emails/phone calls. Using templates within Google Drive to contact companies, also sharing folders with volunteers.",Marketing Volunteer,
938,"Assisting the PR Coordinator or Director with any work towards the organization. Creating templates, emails, documents, etc. for the Director/Coordinator. Reaching out on social media, posting pictures, hashtagging, tweeting, posting on Facebook etc.",PR Assistant,
939,"Scheduling appointments for Fundraising Coordinator, assisting in reaching out to donors, supporters for companies, researching information, creating documents, sending emails, setting up meetings with other department heads, reaching out to other departments for information.",Fundraising Assistant Volunteer,
940,"Will assist the Programs Director with any research, projects, reaching out to individuals in/outside of the organization. Creating templates, documents, spreadsheets, etc. for the programs department to run more efficiently. Understanding the role of the Programs Director.",Programs Assistant,
941,"Seeking talented writers with excellent time-management, team leadership and project management skills to perform a variety of writing, editing, and copyediting. Will attend the events hosted by the organization and write about the events we have and contribute their articles to our yearly magazine!",Volunteer Writer,
942,Carry out any responsibilities the Administrative Department may have. Provide administrative support and ensure a smooth running of daily operations by arranging communication between all departments and all managers and the Executive Director.,Administrative Assistant,
943,We are looking for an 3D animator with some knowledge in Autodesk Maya 3D Program to help edit our commercial.,3D Animator,
944,"We are seeking someone with experience and talent in art, music, acting, poetry, writing, singing and any other artistic passion they may have to work with a child affected by cancer.",Children's Tutor,
945,"Male senior in his 70s is looking for a weekend visitor with an interest in stamps and postcards, coins, fossils, or films. Senior is a collector and would love to connect with a fellow collector. Senior is also interested in attending collector events with visitor if able and weather permitting.",Fellow Stamp or Coin Collector to Visit a Senior in Rego Park,
946,"Bigs and Littles NYC is excited to announce the Women Empowering Women Initiative! If you are a woman who is interested in being a friend, guide and a support to a mother/guardian of a child in our Community-Based Mentoring Program, then this is the right volunteer opportunity for you!",Women Empowering Women : Bigs & Littles NYC's New Initiative!,
947,"Manage calendar and email correspondence, assist in the coordination and execution of various projects. Must have working knowledge of Gmail, MicroSoft suite, good communications skills, strong organizational skills, and be detail-oriented.",Executive Assistant,
948,Work with Officers and Board of Directors to plan fundraising drives and events.,Fundraising Coordinator,
949,"Volunteer to help in the finish and post-finish areas at the TCS NYC Marathon to help ensure runner safety and security among all the fun. Finish area volunteers will receive a NYC Marathon jacket, volunteer pin, and certificate of appreciation.",2019 NYC Marathon Finish Area Volunteer,
950,This position is a research position for youth interested in the history of affordable housing in New York City.,Cooperatives and Homesteading Oral History Project,
951,The start of the TCS NYC Marathon is truly spectacular! Individual and group volunteers are needed to help with the organization of runners and the execution of the marathon start. Free parking is available for volunteers and bus transportation is offered from Brooklyn and Manhattan!,2019 NYC Marathon Start Area Volunteer,
952,"This position will train youth in basic organizing skills, such as doorknocking and meeting facilitation.",Youth Tenant Organizing Program,
953,"Volunteer to be a Course Marshal for the 2019 NYC Marathon! 

Course marshals provide crowd and runner control and are always in the middle of the race action. Course Marshals are the eyes and the ears of the marathon.",2019 NYC Marathon Course Marshal Volunteer,
954,Join hundreds of other Talented Volunteers and support our six dynamic programs focused on Afterschool Development.,Talented Volunteer,
955,"The heart and soul of the Amateur Radio Emergency Service, an Amateur Radio Operator is a person of any age who is interested in radio technique solely with a personal aim and without pecuniary interest and are licensed by the FCC to use amateur radio frequencies.",Amateur Radio Operator,
956,We are seeking a part time bookkeeper with minimum 5 years’ experience in non-profit accounting. You must be proficient in Quickbooks and MS Excel.,Bookkeeper for Non-Profit Organization,
957,"We are a small, fairly new 501(c)(3) non-profit looking for a volunteer grant writer. We are an organization whose primary client base and focus is on the LGBT community.",Grant Writer,
958,"Work with Flatbush Development Corporation department heads and staff on overall marketing initiatives by assisting with developing communication strategies, market research, social media management, and other forms of innovative marketing practices.",Communications Intern,
959,Looking for dedicated volunteers to tutor high school students in math and science.,Math and Science Tutors Needed @ Martin Van Buren HS,
960,AAANY is looking for volunteers to help with reception in our office in Bay Ridge. Volunteers will come in weekly to help schedule appointments and interact with clients. Such volunteers are vital to the smooth running of our organization and help connect clients to vital social services.,Administrative Volunteer,
961,Are you ready to use your awesome fundraising skills to help NYC high school students tap into their inner strength through fitness and cycling challenges? I Challenge Myself needs you to help us shatter our 2019 fundraising goals to support program expansion in 2019-20.,Fundraising Assistant,
962,Are you ready to use your awesome communication and marketing skills to help NYC high school students tap into their inner strength through fitness and cycling challenges? I Challenge Myself needs you to help us shatter our 2019 fundraising goals to support program expansion in 2019-20.,Development Associate,
963,Assist the Head Baseball Coach in Practices and Games.,Volunteer Baseball Coach,
964,"We are looking for a volunteer, preferably from the non-profit sector, to add value and improve our fiscal operation and grants management. We need an innovative, forward-thinking professional who is willing to be hands-on.",Accounting Volunteer,
965,"We invite you to be part of the team of volunteer licensed medical professionals who will provide medical expertise to 50,000 runners at the 2019 TCS New York City Marathon. You will meet great people, gain experience with event medicine, and be a part of the world’s largest marathon.",2019 TCS NYC Marathon MEDICAL PHYSICIANS,
966,"We invite you to be part of the team of 1,500 volunteer licensed medical professionals who will provide medical expertise to 50,000 runners at the 2019 TCS New York City Marathon. You will meet great people, gain experience with event medicine, and be a part of the world’s largest marathon.",2019 TCS NYC Marathon MEDICAL - NURSES,
967,"We invite you to be part of the team of 1,500 volunteer licensed medical professionals who will provide medical expertise to 50,000 runners at the 2019 TCS New York City Marathon. You will meet great people, gain experience with event medicine, and be a part of the world’s largest marathon.",2019 TCS NYC Marathon MEDICAL PHYSICAL THERAPISTS,
968,"We invite you to be part of the team of 1,500 volunteer licensed medical professionals who will provide medical expertise to 50,000 runners at the 2019 TCS New York City Marathon. You will meet great people, gain experience with event medicine, and be a part of the world’s largest marathon.",2019 TCS NYC Marathon MEDICAL EMT,
969,"WSPC is accepting new volunteers into its Greeter-Tour Program, a program that interacts with Park users, helping them learn about the exciting horticulture, history, events, and culture that the Park has to offer. From our resident hawks to the coveted Arch, the Park has many stories to be told!",Greeter-Guide Volunteering at Washington Square Park,
970,"The Fellows Program is an intensive two year mentoring and training program where Fellows are matched one-on-one with highly-accomplished professional Mentor Coaches dedicated to their personal and professional growth. We need mentor coaches for New York, Jersey City, and Chicago!",Pay it Forward! Be a Mentor Coach with America Needs You!,
971,"Volunteers needed for a variety of ongoing tasks: Organization of conferences, concerts, and exhibitions; Maintenance of social media accounts, building partnerships with collaborators, fundraising, marketing, planning artist residencies, distributing and mailing brochures, and networking.",Volunteers for Latin American Arts Events and Exchanges,
972,Get outside and create some beauty!,Spring Volunteer Gardeners,
973,"La Peninsula Community Organization is a community-based, multi-site Head Start organization located in the South Bronx.",Grant Writer,
974,"We are currently looking for an accountant who can be apart of our team as we are fundraising to reach our goals for 2020. Please reach out to learn more.

Sincerely,
Ragz and the Flex Program Team",Pro Bono Accountant,
975,"Help us to extend the hours that the laundry room is available to 340 shelter residents. Volunteer will help the shelter residents to follow laundry room etiquette, including using one washer at a time, using recommended amount of detergent, etc.",Laundry Room Attendant,
976,Assist in preparing and serviing meals to the 340 individuals at our Harmonia shelter.,Meal Prep & Service,
977,"We are in search of a few volunteers who can come in and clean, organize, and maintain our facilities, including office area, kitchen, bathrooms, classrooms, food pantry, and basement.",Maintenance Worker,
978,"EHTP offers a variety of volunteer opportunities through our public charter schools, after-school, and summer programs. The volunteer programs range from subject-matter tutoring, providing students with homework help, mentoring, and preparing high school students for college success.","Support our Students in our Schools as a Tutor, Helper, and Friend!",
979,"EHTP offers a variety of volunteer opportunities through our public charter schools, after-school, and summer programs. The volunteer programs range from subject-matter tutoring, providing students with homework help, mentoring, and preparing high school students for college success.","Support our Students in our After-School Programs as a Tutor, Helper, and Friend!",
980,"Unlocking Futures is a not-for-profit, volunteer driven organization committed to transforming the chaotic lives of young people through persistent and compassionate mentoring. Step up is for students who are 17-21 and the first in their families to graduate high school. We are looking for mentors.",Mentors needed for World Leaders Step Up program,
981,Help organize a Feline Fundraiser of hundreds of donated vintage fashion &amp; accessories.,Help Organize a Feline Fundraiser!,
982,"Wave Hill is looking for a few new recruits to join the Garden Guides, a dedicated group of volunteers who lead personalized walks and tours of the Wave Hill gardens for visitors and tour groups. 

Please contact ruthw@wavehill.org.",Garden Guides at Wave Hlil,
983,The QC Speech Society is the speech and debate program at Queens College. It is a academic student organization where team members compete at speech and debate events at tournaments locally in the Northeast and across the nation,QC Speech & Debate team is looking for Volunteer Advisors,
984,"For the very first time, Partnership with Children will have the opportunity for 5 volunteers to run 26.2 miles citywide and advocate for more than 10,000 under-resourced New York City students. Now is your chance to run with Team PWC!",Run the 2019 TCS New York City Marathon with Team PWC,
985,"The West Side Campaign Against Hunger, founded 40 years ago, the pioneer of the nations first ""customer choice"" supermarket style pantry, is in need of the help of dedicated individuals. Help us restock our shelves, assist our customers with their shopping, treat everyone with dignity and respect!",WSCAH's Pantry needs your support in Manhattan!,
986,"No experience of any kind is required! You'll just help us sort and package fresh produce into bags. The groceries you pack will be on a family's dinner table tomorrow!

This is a fulfilling and easy way to give back to the local community while meeting new friends. Feel free to bring a +1!",Help feed thousands of families across Brooklyn!,
987,DOROT’s new One-to-One Technology Coaching Program helps older adults learn to use technology for social connection and accessing resources.,Volunteer Tech Coach,
988,"Duties: assist staff by typing letters, managing database, answering phone. Pleasant work atmosphere. Opportunity to attend exciting monthly meetings and represent the CWNY at community events. All services of CWNY would be available to the volunteer.",Office Assistant,
989,We will train volunteers to research possible grants for our organization and write grants.,Grant-writer,
990,"We are looking for volunteers who are at least 18 years old to work on our ambulance and at our base to support us to provide emergency medical services and training to the community of Throggs Neck, Country Club, and Pelham Bay in the Bronx.",Throggs Neck Volunteer Ambulance Corps Volunteers,
991,"Governors Island relies on dedicated volunteers to keep this incredible public space welcoming and beautiful for all. Whether you're hoping to try your hand at gardening, meet new people or become a true Island insider, our volunteer program has something for everyone.",Volunteer at Governors Island,
992,Volunteer to provide fundraising expertise to a large NYC nonprofit that is just beginning to develop its Fundraising Department.,Fundraising Consultant Volunteer,
993,"Learn about the mission and vision of the American Red Cross and the many volunteer opportunities that are available for you to join us! Some current opportunities that will be discussed include disaster preparedness, response, recovery, communications, blood services and more.",American Red Cross of NYC Information Session,
994,Help us set up Steel Pan instruments for practice on Friday and then assist with the Stilt Walkers on Saturday.,TropicalFete Weekend Set Up / Practice Helpers,
995,Someone looking to get invaluable theatre administration or technical experience while being a part of a company dedicated to seeing a change in theatre representation and development.,Broad Views on Broadway Intern,
996,"Sprout leaders travel, have fun, and contribute to the lives of others by co-leading vacations throughout the United States for small groups of people with developmental disabilities. Groups usually consist of 11 participants and 3 Sprout leaders.",Volunteer: Vacation Program,
997,"Sprout leaders encourage positive socialization, have fun and contribute to the lives of others by co-leading day and evening activities throughout New York City for small groups of adults with developmental disabilities. Groups usually consist of 11 participants and 3 Sprout leaders.",Volunteer: NYC Program,
998,Little Essentials relies on volunteers like you to help sort and organize gently used children's clothing and supplies for families in need. Join us from 11-1pm for sorting fun and create a huge impact within our organization!,Help Little Essentials sort donations!,
999,Did you know 40% of food in the USA is wasted? Did you know 1 in 7 Americans are food insecure? Did you know YOU can help? Join Rescuing Leftover Cuisine and provide a reliable food rescue service by fostering community connections in order to reduce food waste and food insecurity in NYC!,Lead the Fight Against Food Waste and Hunger in NYC!,
1000,"The All Stars Project of New York transforms the lives of youth and poor communities using the developmental power of performance, in partnership with caring adults. Its six developmental programs rely heavily on community organizing!",Community Organizer,
1001,"The All Stars Project of New York transforms the lives of youth and poor communities using the developmental power of performance, in partnership with caring adults. Its six developmental programs often put on special events, both large and small.",Special Events Producer,
1002,"If young people develop but no one sees it, did it really happen? We won’t take that chance! The All Stars Project of New York and its six developmental programs often need volunteers to lend their artistic skills and capture our young people’s amazing work.",Photographer,
1003,"Impacting the lives of over 5,000 young people per year means processing a whole lot of information! It’s no small task. If you’re passionate about young people developing and know your way around a database, the All Stars Project could use your skills.",Database Administrator,
1004,"How do over 5,000 inner city youth get to 42nd St.? With a whole lot of organizing, of course! Each week, volunteer youth organizers take to the phones and the streets to recruit and remind students about the developmental power of performance in the All Stars Project six programs.",Youth Organizer,
1005,"Castillo Theatre is an off-off-Broadway theatre developing what’s possible on stage and off. For over 35 years, Castillo has made theatre provocative, which is why people keep buying tickets. The theatre’s sales operation offers people the chance to support a vibrant creative community.",Theatre and Ticket Sales,
1006,"The All Stars Project’s Youth Programs team manages three vibrant programs. With so much happening on stage, so much must happen off it! Those with office experience or those who simply want to support youth develop “behind the scenes” are welcome to join this team!",Youth Programs Office Administrator,
1007,"What has 1,200 legs and supports youth development all week? As a Talented Volunteer, you may find yourself community organizing, producing a special event, making phone calls, working box office, joining house staff, and more – all within a diverse and energetic community.",Volunteer Department Development,
1008,"We are currently seeking volunteers for tutoring and homework help for 6-8th grade students who are performing below grade level in math, reading and/or writing. Volunteers would enable the school to scale up their existing homework help program.",MS 54 Afternoon Academy,
1009,"R.A.I.N. VOLUNTEERS NEEDED! R.A.I.N. provides services to home bound Seniors in the Bronx Community (District 7, 8,9,10, 11, and 12). The program provides support and companionship to seniors to connect them within their community.",Become a Friendly Visitor,
1010,CIANA is seeking enthusiastic board members who are looking to make a difference. Time commitment is essential and active involvement is both critical and expected. Retirees are especially encouraged to apply.,Board of Directors,
1011,Get outside and enjoy the weather this summer while volunteering at one of NYRR Summer races! All volunteers will receive a New Balance visor as a sign of our appreciation. There's lots of different opportunities-- there's a perfect one for everyone. Register at nyrr.org,NYRR Summer Events,
1012,Looking for a motivated and ambitious individual to assist Broad Views on Broadway's Marketing Director with tasks in reference to our targeted marketing campaigns. This would provide the individual with  various marketing techniques in the world of theater. 8 hour a week commitment.,Seeking Marketing Intern for Broad Views on Broadway,
1013,Kitchen Team Volunteers work with the Chef to create the night's fresh and creative home-cooked community dinner.,Kitchen Team Shifts,
1014,"The Dinner Service Team help set up for and welcomes guests, serves dinner, and cleans up after dinner. They may also help with pantry preparations as needed.",Soup Kitchen Dinner Service Team,
1015,Get a quick 1-hour workout and volunteer for a good cause all at the same time! Sign up for this shift and we’ll set you up for a quick 1 hour or less of carrying dry goods from our basement up 1 flight of stairs to the distribution room and setting up the day's inventory.,Win/Win 1-hour Food Pantry Work-out,
1016,"Keeping the Greenway clean and green for tens of thousands of people who cycle, run, walk, stroll, skate, scoot (and other modes!) isn’t easy! But with your help, together we can keep the Greenway litter-free and enjoyable for all!",Community Volunteer Days on the Greenway,
1017,Give youth decision-making control over what and how they learn  to pursue a topic of their interest.,Volunteer Champion - GripTape,
1018,"Our Case Management Department is looking for a highly personable, persistent, and detail-oriented Case Management Intern to assist our case manager with client services. CIANA’s Case Management Department provides job assistance, housing assistance, and public benefits application support.",Fall Case Management Intern (UNPAID),
1019,Our Department of Communications and Development is looking for a resourceful researcher and excellent writer to fill our Grants Intern position.,Fall Grants Intern (UNPAID),
1020,06 United Football Club is recruiting a number of volunteer assistant soccer coach who will be responsible for training 5-15 year-olds in this summer.,Youth Soccer Assistant Coach (Volunteer) Weekdays Summer Program in Flushing,
1021,IIC is looking for an office program assistant with an interest in immigrant affairs and administrative skills. Duties will include: intake and registration of new students; assisting with document preparation and mailings; answering phone calls from students and teachers; and recruiting volunteers.,Program Assistant,
1022,The Volunteer Health Advocates Project is seeking individuals age 55 years or older to serve in NYC Health + Hospitals facilities helping patients address non-medical needs. Health Advocates will provide information on government and community benefits.,Volunteer Opportunity for Retirees - Volunteer Health Advocates,
1023,Assist with daily and weekly administrative tasks for charity organization serving youth and families via basketball.,Administrative Assistant,
1024,Assist with posting information for basketball organization.,Social Media Coordinator,
1025,Big Apple Basketball is looking for an event planner to assist with our 20th Anniversary Fundraiser in November 2019.,Event Planner For Fundraising Events,
1026,"Volunteer at The Battery as a gardener, greeter, tour guide, or at Battery Urban Farm! The Battery Conservancy designs, builds, maintains, and activates the historic Battery’s 25-acres of NYC public parkland at the southern tip of Manhattan.",Volunteer at The Battery,
1027,BVOB seeks to broaden peoples' views on typical Broadway productions by displaying original works in varying capacities as well as providing support to new development and artists.  As we grow we are expanding from just an administrative team to a collaborative Board!,Broad Views on Broadway Board Members,
1028,"Join the men and women (our Doula Volunteers) who visit individuals facing the end stage of life alone without friends or family.

The Doula Program to Accompany and Comfort's mission is to minimize the isolation and loneliness experienced by individuals with advanced illness.",Doula Volunteer Program: Meaningful relationships with individuals at the end of  life,
1029,Assist with membership recruitment for senior center &amp; line management for food pantry,Senior Center Outreach Volunteer,
